,Datetime,Tweet Id,Text,Username
79,2021-07-21 08:49:12+00:00,1417768613340061697,"The world market is greenish all the way.
#DowJones #Nifty #StockMarket",avi_kkumri
80,2021-07-21 08:47:50+00:00,1417768267796553731,"Lakshmi Machine Q1 result update 

Revenue 458 crore Vs 169 crore (YoY); 684 crore (QoQ) 

EBITDA 7.18 crore Vs -28.07 crore (YoY); 44 crore (QoQ) 

Net Loss -9.57 crore Vs -21.60 crore (YoY); Profit 26 crore (QoQ) 

EPS -8.96 Vs -20.24 (YoY) 24.38 

#Nifty",BigBreakingNow
81,2021-07-21 08:47:24+00:00,1417768157658320897,"Syngene International Q1 result update

Revenue 595 crore Vs 422 crore (YoY); 659 crore (QoQ) 

EBITDA 150 crore Vs 125 crore (YoY); 211 crore (QoQ) 

Net Profit 77.30 crore Vs 58 crore (YoY); 161 crore (QoQ) 

EPS 1.93 Vs 1.45 (YoY); 4.01 (QoQ) 

#Nifty",BigBreakingNow
82,2021-07-21 08:33:23+00:00,1417764630135517184,#StocksToTrade Accumulate ACC; target of Rs 2540: KR Choksey #intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket,Nifty50trade
83,2021-07-21 08:33:22+00:00,1417764628579368961,#StocksToTrade Buy Infosys; target of Rs 1797: Geojit #intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket,Nifty50trade
84,2021-07-21 08:33:22+00:00,1417764626884878337,#StocksToTrade Accumulate ACC; target of Rs 2460: Arihant Capital #intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket,Nifty50trade
85,2021-07-21 08:15:37+00:00,1417760158663413765,"🇮🇳 #ETF Update:

ICICI has launched Nifty FMCG ETF. Expense Ratio not yet disclosed.

#Nifty FMCG Index consists of 15 FMCG stocks.",InvestRepeat
86,2021-07-21 08:15:06+00:00,1417760028551831554,"Stocks with possible Upside:

#enil 194
#fcl 104
#kansainer 618
#sanghiind 61
#starcement 114
#suvenpharma 474
#vimtalabs 326

#Banknifty - approx 11% Increase in OI 😨
#Nifty - approx 5% Increase in OI
#nifty50 #NiftyBank",CandlesGame
87,2021-07-21 08:12:33+00:00,1417759389348421637,"Bitcoin Back Over $30,000, Still Worth Less Than Half Its Record High

Bitcoin rose about 3 per cent to $30,762 in the Asia session after it dropped to its lowest since June on Tuesday at $29,296.
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #Trading #Ban…",stokmarketlive
88,2021-07-21 08:12:33+00:00,1417759387775606784,"Anand Rathi Wealth Files IPO Papers With Market Regulator

Anand Rathi Wealth IPO will be an offer for sale of 1.2 crore shares by promoters and existing shareholders, including Anand Rathi Financial Services, Anand Rathi, Pradeep Gupta and Priti Gupta
#Nifty #stock #stockma…",stokmarketlive
89,2021-07-21 08:12:32+00:00,1417759383438692353,"Airports Authority Panels Find Adani Group Violating Branding Norms

Three Airports Authority of India panels found the Adani group violating branding norms prescribed in the concession agreements at three airports.
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Op…",stokmarketlive
90,2021-07-21 08:12:31+00:00,1417759380867620864,"Asian Shares Give Up Early Gains As New Covid Cases Rise

The Delta coronavirus variant has for the moment displaced inflation as investors' primary source of concern, with South Korea on Wednesday reporting a daily record of new infections.
#Nifty #stock #stockmarket #NSE #…",stokmarketlive
91,2021-07-21 08:12:31+00:00,1417759378581729288,"HDFC Bank Offers Interest Up To 6.25% On Fixed Deposit. Check Rates Here

HDFC Bank offers an additional 0.25% interest to senior citizens and its fixed deposit accounts can be opened online or from any branch across the country.
#Nifty #stock #stockmarket #NSE #BSE #Technic…",stokmarketlive
92,2021-07-21 08:01:59+00:00,1417756729203298305,"Shakti Pumps Q1 result update

Revenue 156 crore Vs 92 crore (YoY); 319 crore (QoQ) 

Profit 7.29 crore Vs 3.31 crore (YoY); 30 crore (QoQ) 

EPS 3.97 Vs 1.80 (YoY); 16.59 (QoQ)

#NIFTY",BigBreakingNow
93,2021-07-21 07:49:26+00:00,1417753571433484290,"Dow futures just rallied 300 points
If it closes 400+ points by EoD, expect #nifty to gain traction towards 16000",NiftySher
94,2021-07-21 07:47:42+00:00,1417753135318061058,#banknifty #nifty Analysts: It’s a holiday world market will be stable. Bulls “hold my beer”.,Imjtomar
95,2021-07-21 07:46:21+00:00,1417752793545265154,"#banknifty #NIFTY #SGXNIFTY #bse #USDINR #bankniftyfuture #OPTIONS #nifty50 
#optionstrade  #NIFTYFUTURE #niftypharma 

💧💧💧

𝗪𝗵𝗶𝗰𝗵 𝗹𝗲𝘃𝗲𝗹 𝘆𝗼𝘂 𝘀𝗲𝗲 𝗳𝗶𝗿𝘀𝘁 𝗶𝗻 𝗕𝗔𝗡𝗞𝗡𝗜𝗙𝗧𝗬 𝗯𝗲𝗳𝗼𝗿𝗲 𝗠𝗼𝗻𝘁𝗵𝗹𝘆 𝗘𝘅𝗽𝗶𝗿𝘆 Next week(𝟮𝟵)??",SmartTraderMind
96,2021-07-21 07:41:48+00:00,1417751649737592834,"Shyam Metallics Q1 result update

Revenue 1,186 crore Vs 493 crore (YoY); 1075 crore (QoQ)

Profit 224 crore Vs 49 crore (YoY); 214 crore (QoQ)

EBIT 304 crore Vs 54 crore (YoY); 290 crore (QoQ)

#Nifty",BigBreakingNow
97,2021-07-21 07:38:34+00:00,1417750837300920323,"Mangalam Cement Q1 result update

Revenue 355 crore Vs 226 crore (YoY); 410 crore (QoQ) 

Net Profit 39 crore Vs 13 crore (YoY); 36 crore (QoQ) 

EBIT 75 crore Vs 37 crore (YoY); 73 crore (QoQ)

#Nifty",BigBreakingNow
98,2021-07-21 07:38:15+00:00,1417750758292791298,"Astron Paper Q1 result update 

Revenue 112 crore Vs 67 crore (YoY); 143 crore (QoQ)

Profit 2 crore Vs 2 crore (YoY); 6 crore (QoQ)

EBIT 4 crore Vs 6 crore (YoY); 13 crore (QoQ)

#Nifty",BigBreakingNow
99,2021-07-21 07:37:08+00:00,1417750475630276608,"If trading is Love then Investing is Wife 🎊🚀🚀🚀🚀

#nifty #sensex #tradingcall #investmenttip #bitcoin #dogecoin #ShibaArmy #banknifty #itc",YasHisHh
100,2021-07-21 07:36:24+00:00,1417750292142059523,"Bajaj Finserv Q1 results: PAT falls 31% YoY to Rs 833 crore hit by Covid 2.0

Ab ayega maja 😂

#Nifty Gaya aur #Banknifty will see 29000 

#StockMarket
#NiftyBank #NIFTYFUTURE #DowJones #NASDAQ #tatvachintan #zomatoipo #sharemarket @MyFnO @NKStocktalk @AnilSinghvi_ @karthikSou",wakeupwhistleC
